Model,R2 Score,Mean Squared Error,Mean Absolute Error
Lasso,0.8820591282660359,28.699543022348024,4.175515408759964
Ridge,0.8804480338276083,29.091584165243916,4.214518935832992
Linear Regression,0.8804332983749565,29.095169866715473,4.21476314247485
ElasticNet,0.8801873068709422,29.15502904571592,4.199752228164975
BaggingRegressor,0.8548856622266221,35.31189077083334,4.570325
RandomForestRegressor,0.8545502240912244,35.393515750000006,4.54595
ExtraTreesRegressor,0.8470574968903221,37.21678399870405,4.639695597041847
AdaBoostRegressor,0.8418085598829431,38.494051931780426,4.803921385684097
GradientBoostingRegressor,0.8293671200673245,41.52153199020937,4.995692346313533
DecisionTreeRegressor,0.7643501085025555,57.34266755716176,5.976275793650793
KNeighborsRegressor,0.5394983299840633,112.05773957900601,7.947253210611166
