Model,R2 Score,Mean Squared Error,Mean Absolute Error
Lasso,0.8820591282660359,28.699543022348024,4.175515408759964
Ridge,0.8804480338276083,29.091584165243916,4.214518935832992
Linear Regression,0.8804332983749565,29.095169866715473,4.21476314247485
ElasticNet,0.8801873068709422,29.15502904571592,4.199752228164975
BaggingRegressor,0.8557865507457927,35.092670000000005,4.626366666666667
AdaBoostRegressor,0.8547820801889088,35.33709625815923,4.633000116993153
RandomForestRegressor,0.8513929490783205,36.161801999999994,4.5451999999999995
ExtraTreesRegressor,0.8474740158903782,37.1154289316608,4.607446369047619
GradientBoostingRegressor,0.8271594132298008,42.05875183972145,5.024649405468083
DecisionTreeRegressor,0.7583025216813283,58.81427765810027,5.87568253968254
KNeighborsRegressor,0.5394983299840633,112.05773957900601,7.947253210611166
